name,position,season,games_played,total_tackles,sacks,safties,passes_defended,interceptions,ints_for_tds,int_yards,longest_int_return
"McClain, Robert",DB,2010,16,16,0,0,1,0,0,0,0
"Perry, Joshua",ILB,2016,15,22,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2016,16,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2015,16,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2014,16,1,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2013,16,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2012,16,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2011,15,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2010,16,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2009,16,1,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2008,16,2,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2007,16,2,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2006,16,4,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2005,16,0,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2004,16,2,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2003,16,1,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2002,16,3,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2001,15,3,0,0,0,0,0,0,0
"Janikowski, Sebastian",K,2000,14,0,0,0,0,0,0,0,0
"Dray, Jim",TE,2016,2,0,0,0,0,0,0,0,0
"Dray, Jim",TE,2016,4,0,0,0,0,0,0,0,0
"Dray, Jim",TE,2015,16,0,0,0,0,0,0,0,0
"Dray, Jim",TE,2014,16,1,0,0,0,0,0,0,0
"Dray, Jim",TE,2013,16,1,0,0,0,0,0,0,0
"Dray, Jim",TE,2012,13,2,0,0,0,0,0,0,0
"Dray, Jim",TE,2011,10,2,0,0,0,0,0,0,0
"Dray, Jim",TE,2010,16,6,0,0,0,0,0,0,0
"Sorensen, Daniel",DB,2016,16,63,1,0,6,3,1,48,48T
"Sorensen, Daniel",DB,2015,16,23,1,0,2,0,0,0,0
"Sorensen, Daniel",DB,2014,9,7,0,0,0,0,0,0,0
"Randall, Damarious",CB,2016,10,39,0,0,9,3,0,91,44
"Randall, Damarious",CB,2015,15,58,0,0,14,3,1,47,43T
"Jones, T.J.",WR,2016,3,0,0,0,0,0,0,0,0
"Jones, T.J.",WR,2015,10,1,0,0,0,0,0,0,0
"Jones, Abry",DT,2016,15,32,0,0,1,0,0,0,0
"Jones, Abry",DT,2015,15,17,2,0,2,0,0,0,0
"Jones, Abry",DT,2014,16,39,3,0,1,0,0,0,0
"Jones, Abry",DT,2013,8,9,0.5,0,0,0,0,0,0
"Smith, Daryl",OLB,2016,16,35,0,0,1,1,0,-5,-5
"Smith, Daryl",OLB,2015,16,121,3,0,3,1,0,-1,-1
"Smith, Daryl",OLB,2014,16,128,1,0,8,1,0,0,0
"Smith, Daryl",OLB,2013,16,123,5,0,18,3,1,41,37T
"Smith, Daryl",OLB,2012,2,6,0,0,0,0,0,0,0
"Smith, Daryl",OLB,2011,16,107,3.5,0,8,1,0,25,25
"Smith, Daryl",OLB,2010,16,97,3.5,0,5,1,0,8,8
"Smith, Daryl",OLB,2009,16,107,1.5,0,6,1,0,10,10
"Smith, Daryl",OLB,2008,14,69,2.5,0,3,0,0,0,0
"Smith, Daryl",OLB,2007,15,71,1.5,0,4,0,0,0,0
"Smith, Daryl",OLB,2006,16,88,3,0,6,1,0,4,4
"Smith, Daryl",OLB,2005,16,81,4,0,1,1,0,0,0
"Smith, Daryl",OLB,2004,15,52,2,1,3,1,0,0,0
"Kerr, Zach",NT,2016,12,19,2.5,0,0,0,0,0,0
"Kerr, Zach",NT,2015,12,29,0,0,1,0,0,0,0
"Kerr, Zach",NT,2014,12,16,3,0,1,0,0,0,0
"Gillmore, Crockett",TE,2016,7,0,0,0,0,0,0,0,0
"Gillmore, Crockett",TE,2015,10,1,0,0,0,0,0,0,0
"Gillmore, Crockett",TE,2014,15,1,0,0,0,0,0,0,0
"Cooper, Amari",WR,2016,16,1,0,0,0,0,0,0,0
"Cooper, Amari",WR,2015,16,1,0,0,0,0,0,0,0
"Lamur, Emmanuel",LB,2016,16,13,0,0,0,0,0,0,0
"Lamur, Emmanuel",LB,2015,16,40,0.5,0,3,0,0,0,0
"Lamur, Emmanuel",LB,2014,14,91,0,0,7,2,0,6,5
"Lamur, Emmanuel",LB,2012,9,19,0,0,1,0,0,0,0
"Jenkins, John",DT,2016,2,3,0,0,0,0,0,0,0
"Jenkins, John",DT,2016,7,10,0,0,0,0,0,0,0
"Jenkins, John",DT,2015,14,49,0.5,0,1,0,0,0,0
